timestamp,Vehicle,Color,Plate
2026-07-01 01:50:12,car,Silver/Gray,KHOSZZK
2026-07-01 01:50:16,car,Silver/Gray,L02FKD
2026-07-01 01:50:24,car,Silver/Gray,URO2FKD
2026-07-01 01:51:22,car,Silver/Gray,YYEIMBG
2026-07-01 01:51:33,car,Silver/Gray,EYGINBG
2026-07-01 01:51:34,car,White,EJIAZHY
2026-07-01 01:52:11,car,White,AVDBHHVF
2026-07-01 01:52:23,car,White,VOBIHME
2026-07-01 01:52:34,car,White,WOBHVA
2026-07-01 01:52:35,car,Silver/Gray,BCGSUSJ
2026-07-01 01:52:43,car,Silver/Gray,NSAKGJ
2026-07-01 01:52:45,car,Blue,8G65USJ
2026-07-01 01:52:54,car,Silver/Gray,W54KGJ
2026-07-01 01:53:13,car,Silver/Gray,541DMI
2026-07-01 01:53:22,car,Silver/Gray,KLEAKGJ
2026-07-01 01:53:34,car,Silver/Gray,M54KGI
2026-07-01 01:54:02,car,Silver/Gray,AK64DHY
2026-07-01 01:54:03,car,Silver/Gray,WGAKGJ
2026-07-01 01:54:15,car,Silver/Gray,AKBAIDHV
2026-07-01 01:54:24,car,Black,13F1DZL
2026-07-01 01:54:33,car,Silver/Gray,EFODZI
2026-07-01 01:54:57,car,Silver/Gray,AKEADNV
2026-07-01 01:55:37,car,Silver/Gray,EFI0DZT
2026-07-01 01:56:00,car,Silver/Gray,DOJEPD
2026-07-01 01:56:08,car,Silver/Gray,4665JKV
2026-07-01 01:56:11,car,Silver/Gray,GJOSERD
2026-07-01 01:56:31,car,Silver/Gray,6J061EPD
2026-07-01 01:56:39,car,Silver/Gray,LLXISZZL
2026-07-01 01:56:40,car,Silver/Gray,KH06KSUI
2026-07-01 01:56:43,car,White,GGJOBEPO
2026-07-01 01:56:50,car,Silver/Gray,LHISZZC
2026-07-01 01:56:57,car,Silver/Gray,6JOBIEPD
2026-07-01 01:57:05,car,White,GJO6TEPD
